iter	Passed	Remaining
0	3	310
1	4	234
2	6	202
3	7	177
4	8	169
5	10	161
6	11	159
7	13	154
8	14	149
9	16	148
10	17	144
11	19	140
12	20	137
13	21	134
14	23	131
15	24	130
16	26	130
17	27	127
18	29	124
19	30	121
20	31	119
21	33	117
22	34	115
23	35	112
24	36	110
25	38	108
26	39	106
27	40	104
28	41	102
29	42	99
30	43	97
31	44	95
32	46	93
33	47	91
34	47	89
35	48	87
36	49	84
37	50	82
38	51	80
39	52	78
40	53	76
41	53	74
42	54	72
43	55	70
44	56	69
45	57	67
46	58	65
47	59	64
48	60	62
49	61	61
50	61	59
51	62	57
52	63	56
53	64	54
54	64	52
55	65	51
56	66	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	42
62	70	41
63	71	40
64	72	39
65	73	37
66	73	36
67	74	35
68	75	33
69	76	32
70	76	31
71	77	30
72	78	28
73	79	27
74	79	26
75	80	25
76	81	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	85	17
83	86	16
84	86	15
85	87	14
86	88	13
87	88	12
88	89	11
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	95	0
99	96	0
