iter	Passed	Remaining
0	1	1054
1	1	946
2	2	903
3	3	861
4	4	825
5	4	811
6	5	799
7	6	787
8	7	797
9	7	791
10	8	784
11	9	774
12	10	763
13	10	754
14	11	744
15	11	736
16	12	734
17	13	728
18	14	729
19	14	723
20	15	719
21	16	718
22	16	716
23	17	715
24	18	712
25	18	710
26	19	713
27	20	711
28	21	711
29	21	710
30	22	706
31	23	705
32	24	704
33	24	701
34	25	699
35	25	695
36	26	692
37	27	690
38	28	693
39	28	695
40	29	696
41	30	695
42	31	693
43	31	693
44	32	692
45	33	690
46	34	689
47	34	693
48	35	696
49	36	696
50	37	697
51	38	696
52	38	694
53	39	692
54	40	691
55	41	693
56	41	694
57	42	692
58	43	691
59	44	689
60	44	688
61	45	686
62	46	684
63	46	682
64	47	682
65	48	680
66	48	678
67	49	677
68	50	677
69	50	676
70	51	675
71	52	675
72	53	674
73	53	672
74	54	670
75	55	670
76	55	668
77	56	666
78	57	664
79	57	663
80	58	662
81	59	660
82	59	655
83	60	654
84	60	652
85	61	650
86	61	648
87	62	645
88	62	643
89	63	640
90	63	637
91	64	637
92	65	636
93	65	634
94	66	631
95	66	629
96	67	626
97	67	624
98	68	621
99	68	620
100	69	621
101	70	619
102	70	617
103	71	615
104	71	613
105	72	610
106	72	608
107	73	606
108	73	604
109	74	602
110	74	600
111	75	598
112	75	596
113	76	594
114	76	592
115	77	590
116	77	587
117	78	585
118	78	583
119	79	582
120	79	581
121	80	578
122	80	576
123	81	575
124	81	573
125	82	572
126	83	570
127	83	569
128	84	568
129	84	566
130	85	565
131	85	563
132	86	562
133	86	560
134	87	559
135	87	557
136	88	556
137	88	555
138	89	554
139	90	553
140	90	551
141	90	549
142	91	547
143	91	546
144	92	544
145	92	543
146	93	541
147	93	540
148	94	539
149	95	539
150	95	538
151	96	537
152	96	536
153	97	535
154	98	534
155	98	534
156	99	533
157	99	532
158	100	531
159	100	530
160	101	528
161	101	526
162	102	525
163	102	524
164	103	523
165	103	521
166	104	520
167	104	519
168	105	518
169	106	517
170	106	516
171	107	515
172	107	514
173	108	513
174	108	512
175	109	513
176	110	514
177	111	513
178	111	513
179	112	514
180	113	513
181	114	512
182	114	511
183	115	510
184	115	509
185	116	508
186	116	506
187	117	505
188	117	504
189	118	503
190	118	502
191	119	501
192	119	500
193	120	499
194	120	497
195	121	496
196	121	495
197	122	494
198	122	493
199	123	492
200	123	491
201	124	490
202	124	490
203	126	491
204	126	491
205	127	490
206	127	489
207	128	488
208	128	487
209	129	486
210	129	485
211	130	484
212	130	483
213	131	482
214	131	481
215	132	480
216	132	479
217	133	478
218	133	477
219	134	476
220	134	475
221	135	474
222	135	473
223	136	472
224	136	471
225	137	470
226	137	469
