iter	RMSE
0	0.8796219423
1	0.8567725218
2	0.8345322973
3	0.8129111152
4	0.7933056252
5	0.7747101873
6	0.7550322346
7	0.7370558599
8	0.719673983
9	0.7030863675
10	0.6882275397
11	0.673118961
12	0.6586257377
13	0.6447610634
14	0.6320123922
15	0.6193859571
16	0.6081006814
17	0.5967180676
18	0.5858340862
19	0.5754809271
20	0.5657384005
21	0.5564747467
22	0.5466443206
23	0.5384662769
24	0.5295444443
25	0.521395847
26	0.5130420523
27	0.5059404576
28	0.4989868923
29	0.4921149306
30	0.4852733463
31	0.4792578661
32	0.4738591733
33	0.4684049601
34	0.4624277161
35	0.4577448694
36	0.4537502023
37	0.4494265504
38	0.4445301896
39	0.4399847469
40	0.435526146
41	0.4316545806
42	0.4281112648
43	0.4246256068
44	0.4213880366
45	0.418328827
46	0.4155280196
47	0.4127512669
48	0.4104536107
49	0.4078490875
50	0.4050299321
51	0.4024500867
52	0.3999532104
53	0.3977185237
54	0.3957046078
55	0.3932565924
56	0.3914769637
57	0.3896446382
58	0.3881992407
59	0.3866929498
60	0.384892015
61	0.3831258714
62	0.3818571413
63	0.3802904127
64	0.3794513153
65	0.3778259954
66	0.3770954261
67	0.3762915206
68	0.3748174377
69	0.3739312508
70	0.3726277536
71	0.3716079885
72	0.3706975137
73	0.3697705936
74	0.3684742209
75	0.3676805342
76	0.366963396
77	0.3659293858
78	0.3657487381
79	0.3645579986
80	0.3634673222
81	0.362503433
82	0.3617823924
83	0.3609996737
84	0.360552787
85	0.359943302
86	0.3595442677
87	0.3591480466
88	0.3587465837
89	0.358613172
90	0.3582661216
91	0.3578297933
92	0.3574351328
93	0.3572236441
94	0.3565984902
95	0.355899892
96	0.3554034342
97	0.3547405609
98	0.3545451621
99	0.3541114695
100	0.3537711126
101	0.3529291358
102	0.3525970842
103	0.3519489547
104	0.3515796893
105	0.3512753358
106	0.3511232921
107	0.3507405637
108	0.3501375309
109	0.3496820573
110	0.3493926806
111	0.3486235505
112	0.3484026492
113	0.3480759851
114	0.3477434315
115	0.3476229857
116	0.3470737162
117	0.3465947425
118	0.3461368179
119	0.3456214789
120	0.3450314589
121	0.3446826035
122	0.3443684129
123	0.3437926979
124	0.3430855937
125	0.3428727725
126	0.3423990425
127	0.341839888
128	0.3412884516
129	0.3409381506
130	0.3403987656
131	0.3398174457
132	0.3395926733
133	0.3389427847
134	0.3387360347
135	0.3385839618
136	0.3381141016
137	0.3378323559
138	0.3376777048
139	0.337456878
140	0.3371950929
141	0.336867804
142	0.3368306563
143	0.3365082171
144	0.3359809776
145	0.3359600513
146	0.3354546346
147	0.3351685707
148	0.3345440572
149	0.3341020157
150	0.333836496
151	0.3336579131
152	0.3334219323
153	0.3328137977
154	0.3326869476
155	0.3325010019
156	0.3321384481
157	0.3319604804
158	0.3313666059
159	0.3311462031
160	0.3309274302
161	0.3304552363
162	0.3302300997
163	0.3301327587
164	0.3299594255
165	0.3295708765
166	0.3291723118
167	0.3289210015
168	0.3287236549
169	0.3284995702
170	0.3282854506
171	0.3279522664
172	0.3276938553
173	0.3275200542
174	0.3272845075
175	0.3271756883
176	0.3261642586
177	0.3257344289
178	0.3252703779
179	0.324916696
180	0.3247559748
181	0.3244054597
182	0.324092113
183	0.3238279509
184	0.3233307954
185	0.3231792466
186	0.3230012056
187	0.3224251275
188	0.3222214383
189	0.3219813945
190	0.3218348488
191	0.3215451399
192	0.3212777621
193	0.3208011696
194	0.3203464317
195	0.3200098817
196	0.3198908648
197	0.3195041615
198	0.3188581953
199	0.3184412518
200	0.3182780102
201	0.3178626358
202	0.3175649861
203	0.3171623558
204	0.3168932421
205	0.3163359297
206	0.315691669
207	0.3154997757
208	0.3151650637
209	0.3149957689
210	0.3148855045
211	0.3147648558
212	0.3145826455
213	0.3144658785
214	0.3140356967
215	0.3136035108
216	0.3132641216
217	0.3130788157
218	0.3129617408
219	0.3126885208
220	0.3125287784
221	0.312411966
222	0.312236193
223	0.3119214783
224	0.3117990923
225	0.3116818963
226	0.3114756196
227	0.3109473993
228	0.3103566345
229	0.3101150365
230	0.3097754735
231	0.3094868377
232	0.3093563147
233	0.3090768569
234	0.3089027237
235	0.3087967454
236	0.3084670446
237	0.3080742153
238	0.3078052762
239	0.3076062337
240	0.3074435115
241	0.3072287516
242	0.3071357613
243	0.3069592937
244	0.306868297
245	0.306689603
246	0.3063125285
247	0.3061247667
248	0.3057402859
249	0.3055031696
250	0.3054080954
251	0.3051698263
252	0.3047229534
253	0.3045964668
254	0.3043074358
255	0.3038104834
256	0.3037228834
257	0.3035637505
258	0.303315503
259	0.3029834178
260	0.3027271595
261	0.302494617
262	0.3024108154
263	0.3020833378
264	0.3018570941
265	0.3017645536
266	0.3016843038
267	0.301369812
268	0.3012803246
269	0.3012191867
270	0.3008518518
271	0.3007713123
272	0.3005553781
273	0.300348905
274	0.3002619818
275	0.3000762453
276	0.2997433627
277	0.2994544929
278	0.299333053
279	0.2991764249
280	0.2990816166
281	0.2990035334
282	0.2988542214
283	0.2984813094
284	0.2984008689
285	0.298109904
286	0.2979922735
287	0.2975901642
288	0.2973309675
289	0.29710782
290	0.2967102043
291	0.2965472316
292	0.2964508298
293	0.2960961251
294	0.2960035302
295	0.295741988
296	0.2955716098
297	0.2953739292
298	0.2948986153
299	0.294700241
300	0.2943200298
301	0.2939947525
302	0.2936897626
303	0.2935211504
304	0.2934448708
305	0.2930605254
306	0.2929856132
307	0.2928820284
308	0.2925723626
309	0.2924002433
310	0.2923255705
311	0.2919903424
312	0.2919149058
313	0.2917125634
314	0.2913541275
315	0.2912824222
316	0.2912345236
317	0.2911183129
318	0.2910496727
319	0.2907231549
320	0.2905726276
321	0.2903032137
322	0.2902248737
323	0.2899717003
324	0.2898414362
325	0.2897756767
326	0.2893551113
327	0.2892786761
328	0.2889984731
329	0.2886538654
330	0.2884665063
331	0.288219766
332	0.2880021392
333	0.2879290813
334	0.2878578412
335	0.2876674908
336	0.2875044622
337	0.2874480921
338	0.287379692
339	0.2871997824
340	0.2869860241
341	0.2865696126
342	0.286378391
343	0.2861456022
344	0.2860787145
345	0.2860137877
346	0.2859604389
347	0.2856688058
348	0.2854226473
349	0.2851734066
350	0.285133
351	0.2849226154
352	0.2848589611
353	0.2848017794
354	0.284406629
355	0.2840857806
356	0.2840151723
357	0.2836308323
358	0.2834856437
359	0.2834237185
360	0.2832406217
361	0.2830036197
362	0.282834076
363	0.2826063549
364	0.2823744622
365	0.2822664446
366	0.2817766835
367	0.2817158564
368	0.2816170378
369	0.2811437931
370	0.2809467453
371	0.2806479671
372	0.2801920773
373	0.2801382401
374	0.2796976766
375	0.279642444
376	0.2795712557
377	0.2794171956
378	0.2792627242
379	0.2788373068
380	0.2785979876
381	0.2785454757
382	0.2781336982
383	0.2779493972
384	0.2777911843
385	0.277583295
386	0.2774772182
387	0.2771899314
388	0.2770256461
389	0.2766988541
390	0.276639304
391	0.2765893081
392	0.2764054622
393	0.276009607
394	0.2756686038
395	0.2754904338
396	0.2753734201
397	0.2750470526
398	0.2748991404
399	0.2745714589
400	0.2745328246
401	0.2741510618
402	0.2740199043
403	0.2736506356
404	0.2734877379
405	0.2732263654
406	0.273059533
407	0.2730048869
408	0.2726958718
409	0.2723395206
410	0.2720906711
411	0.271934661
412	0.2717163187
413	0.2716635338
414	0.2714994813
415	0.2712379657
416	0.2711936019
417	0.2709637176
418	0.2707277988
419	0.2705195544
420	0.2701939233
421	0.2698847165
422	0.2696226127
423	0.2695617809
424	0.2693322702
425	0.2692099075
426	0.2691639866
427	0.2688274676
428	0.2687329045
429	0.2685249893
430	0.2683373516
431	0.2681843945
432	0.2678894643
433	0.2678443361
434	0.2678031359
435	0.267633803
