iter	Passed	Remaining
0	3	3845
1	4	2458
2	9	3109
3	13	3471
4	16	3235
5	21	3492
6	26	3707
7	30	3784
8	35	3907
9	41	4069
10	45	4093
11	52	4328
12	57	4342
13	63	4437
14	68	4490
15	70	4323
16	75	4384
17	80	4377
18	82	4249
19	85	4171
20	89	4190
21	93	4150
22	97	4127
23	99	4057
24	102	3992
25	107	4030
26	110	3997
27	114	3963
28	117	3922
29	119	3863
30	123	3874
31	128	3875
32	132	3875
33	135	3845
34	138	3807
35	142	3814
36	145	3777
37	148	3755
38	151	3735
39	153	3689
40	155	3632
41	158	3605
42	160	3567
43	163	3551
44	166	3542
45	172	3584
46	177	3590
47	180	3572
48	182	3534
49	185	3522
50	188	3510
51	192	3504
52	195	3499
53	199	3503
54	202	3482
55	205	3463
56	207	3438
57	210	3411
58	211	3373
59	213	3344
60	216	3329
61	218	3309
62	220	3282
63	222	3260
64	223	3218
65	226	3206
66	228	3179
67	229	3148
68	232	3141
69	234	3114
70	236	3091
71	237	3067
72	240	3048
73	242	3040
74	246	3036
75	248	3021
76	250	3001
77	252	2979
78	252	2944
79	254	2930
80	256	2911
81	259	2901
82	260	2877
83	261	2853
84	263	2832
85	264	2808
86	265	2784
87	266	2761
88	267	2738
89	268	2710
90	269	2691
91	271	2676
92	272	2657
93	273	2632
94	274	2618
95	277	2616
96	279	2603
97	281	2593
98	282	2572
99	284	2563
100	286	2553
101	288	2538
102	289	2525
103	292	2517
104	293	2504
105	295	2491
106	295	2470
107	297	2455
108	298	2443
109	300	2430
110	301	2416
111	303	2405
112	304	2393
113	306	2383
114	308	2372
115	309	2361
116	311	2349
117	313	2339
118	315	2335
119	317	2327
120	318	2316
121	320	2306
122	322	2299
123	324	2293
124	326	2286
125	328	2277
126	330	2269
127	332	2262
128	333	2253
129	335	2247
130	338	2243
131	340	2237
132	342	2232
133	343	2221
134	345	2213
135	347	2204
136	348	2196
137	350	2187
138	351	2179
139	353	2173
140	356	2170
141	358	2163
142	358	2150
143	360	2143
144	362	2137
145	362	2122
146	364	2113
147	365	2106
148	368	2101
149	369	2096
150	371	2091
151	373	2084
152	375	2077
153	376	2070
154	378	2064
155	380	2057
156	381	2050
157	383	2041
158	384	2034
159	386	2029
160	387	2021
161	389	2014
162	390	2006
163	391	1997
164	392	1988
165	394	1981
166	395	1972
167	396	1964
168	398	1960
169	400	1955
170	402	1952
171	404	1945
172	405	1937
173	406	1931
174	407	1923
175	409	1915
176	410	1907
177	411	1899
178	413	1896
179	416	1896
180	418	1893
181	421	1892
182	423	1890
183	425	1886
184	427	1884
185	431	1889
186	434	1888
187	436	1886
188	438	1879
189	439	1872
190	440	1865
191	441	1858
192	443	1853
193	444	1848
194	447	1845
195	448	1839
196	449	1833
197	450	1826
198	451	1819
199	453	1812
200	454	1806
201	455	1799
202	456	1793
203	457	1786
204	459	1782
205	461	1778
206	463	1774
207	464	1768
208	465	1762
209	466	1756
210	468	1750
211	469	1744
212	470	1738
213	471	1732
214	473	1730
215	477	1731
216	479	1731
217	482	1730
218	484	1729
219	487	1728
220	489	1727
221	491	1722
222	494	1721
223	496	1718
224	497	1712
225	498	1707
226	499	1701
227	500	1695
228	502	1690
229	503	1685
230	506	1684
231	508	1684
232	510	1680
233	511	1674
234	512	1669
235	514	1664
236	515	1658
237	516	1652
238	517	1646
239	518	1641
240	519	1635
241	521	1632
242	524	1632
243	526	1631
244	527	1626
245	530	1625
246	533	1625
247	535	1624
248	538	1623
249	541	1623
250	543	1622
251	546	1621
252	548	1620
253	551	1619
254	554	1619
255	557	1620
256	559	1618
257	562	1617
258	564	1614
259	565	1609
260	567	1606
261	569	1604
262	570	1599
263	572	1594
264	573	1589
265	574	1585
266	577	1584
267	578	1579
268	579	1574
269	580	1569
270	582	1566
271	583	1562
272	585	1558
273	586	1553
274	587	1548
275	588	1543
276	589	1539
277	590	1534
278	591	1529
279	593	1525
280	594	1521
281	595	1516
282	597	1512
283	600	1512
284	602	1512
285	605	1511
286	607	1509
287	609	1506
288	611	1504
289	614	1503
290	617	1503
291	619	1503
292	622	1502
293	625	1501
294	627	1500
295	630	1498
296	631	1494
297	632	1490
298	633	1486
299	635	1481
300	636	1477
301	637	1472
302	638	1468
303	639	1464
304	641	1461
305	643	1460
306	647	1462
307	650	1461
308	651	1457
309	653	1455
310	656	1454
311	659	1454
312	662	1454
313	666	1455
314	668	1454
315	671	1452
316	673	1451
317	676	1450
318	678	1448
319	681	1448
320	684	1447
321	685	1444
322	688	1443
323	690	1441
324	694	1442
325	697	1441
326	699	1440
327	702	1439
328	706	1440
329	709	1440
330	711	1438
331	712	1434
332	714	1430
333	715	1426
334	716	1422
335	717	1417
336	719	1414
337	720	1411
338	722	1409
339	724	1405
340	725	1401
